imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0765447,Un amore senza tempo,Evening,2007,2008-04-25,"Drama, Romance",117,"USA, Germany",English,Lajos Koltai,"Susan Minot, Michael Cunningham",Hart Sharp Entertainment,"Claire Danes, Toni Collette, Vanessa Redgrave, Patrick Wilson, Hugh Dancy, Natasha Richardson, Mamie Gummer, Eileen Atkins, Meryl Streep, Glenn Close, Ebon Moss-Bachrach, Barry Bostwick, David Furr, Sarah Clements, Cheryl Lynn Bowers","A drama exploring the romantic past and emotional present of Ann Lord (Vanessa Redgrave) and her daughters, Constance Haverford (Natasha Richardson) and Nina Mars (Toni Collette). As Ann lays dying, she remembers, and is moved to convey to her daughters, the defining moments in her life fifty years ago, when she was a young woman. Harris Arden (Patrick Wilson) is the man Ann loves in the 1950s ...",6.5,12896,,"$12,492,481","$20,016,753",45,110,120
tt0099731,Il racconto dell'ancella,The Handmaid's Tale,1990,1990-02-15,"Drama, Romance, Sci-Fi",109,"USA, Germany",English,Volker Schlöndorff,"Margaret Atwood, Harold Pinter",Bioskop Film,"Natasha Richardson, Faye Dunaway, Aidan Quinn, Elizabeth McGovern, Victoria Tennant, Robert Duvall, Blanche Baker, Traci Lind, Zoey Wilson, Kathryn Doby, Reiner Schöne, Lucia Hartpeng, Karma Ibsen Riley, Lucile McIntyre, Gary Bullock","In a dystopian, polluted right wing religious tyranny, a young woman is put in sexual slavery on account of her now rare fertility.",6,8502,,"$4,960,385","$4,960,385",,70,40
tt0300532,Blue Crush,Blue Crush,2002,2003-05-30,"Drama, Romance, Sport",104,"USA, Germany",English,John Stockwell,"Susan Orlean, Lizzy Weiss",Universal Pictures,"Kate Bosworth, Matthew Davis, Michelle Rodriguez, Sanoe Lake, Mika Boorem, Chris Taloa, Kala Alexander, Ruben Tejada, Kaupena Miranda, Asa Aquino, Faizon Love, Fiji, Shaun Robinson, Paul Hatter, Tamayo Perry","As a hard-core surfer girl prepares for a big competition, she finds herself falling for a football player.",5.7,29718,"$25,000,000","$40,390,647","$51,843,679",61,214,57
tt0438315,La forza del campione,Peaceful Warrior,2006,2006-06-23,"Drama, Romance, Sport",120,"USA, Germany",English,Victor Salva,"Kevin Bernhardt, Dan Millman",DEJ Productions,"Scott Mechlowicz, Nick Nolte, Amy Smart, Tim DeKay, Ashton Holmes, Paul Wesley, B.J. Britt, Agnes Bruckner, Tom Tarantini, Beatrice Rosen, Ray Wise, Scott Caudill, Matthew Prater, Bart Conner, Jimmy Bradley",A chance encounter with a stranger changes the life of a college gymnast.,7.3,26252,"$10,000,000","$3,960,414","$4,693,440",40,193,46
tt0118646,Assignment Berlin,Assignment Berlin,1998,1998-09-30,"Drama, Thriller",90,"USA, Germany",English,Tony Randel,Matt Dorff,Filmproduktion Janus,"Sammi Davis, Cliff Robertson, Dominic Raacke, Jan Niklas, Paul Winfield, Martin Umbach, Peter Simonischek, Michael Mendl, Jen Sung, Anina Isabel Haghani, Piotr Papierz, Sabine Svoboda, Gesche Tebbenhoff, George Chung, Evelyn Meyka","Tracy Garret's a cop and after an incident that left one person dead, she's invited by her father to spend sometime with him in Berlin. While they were out having dinner, her father's shot....",4.7,157,,,,,3,
tt1233219,"My Son, My Son, What Have Ye Done","My Son, My Son, What Have Ye Done",2009,2010-09-10,"Drama, Thriller",91,"USA, Germany",English,Werner Herzog,"Herbert Golder, Werner Herzog",Defilm,"Michael Shannon, Willem Dafoe, Chloë Sevigny, Udo Kier, Michael Peña, Grace Zabriskie, Brad Dourif, Irma P. Hall, Loretta Devine, Candice Coke, Gabriel Pimentel, Braden Lynch, James C. Burns, Noel Arthur, Julius Morck","Inspired by a true crime, a man begins to experience mystifying events that lead him to slay his mother with a sword.",6.3,9422,"$2,000,000",,"$76,739",59,52,121
tt0170691,Tigerland,Tigerland,2000,2001-05-24,"Drama, War",101,"USA, Germany",English,Joel Schumacher,"Ross Klavan, Michael McGruther",Haft Entertainment,"Colin Farrell, Matthew Davis, Clifton Collins Jr., Tom Guiry, Shea Whigham, Russell Richardson, Nick Searcy, Afemo Omilami, James MacDonald, Keith Ewell, Matt Gerald, Stephen Fulton, Tyler Cravens, Michael Edmiston, Arian Ash","A group of recruits go through Advanced Infantry Training at Fort Polk, Louisiana's infamous Tigerland, last stop before Vietnam for tens of thousands of young men in 1971.",7,37549,"$10,000,000","$139,692","$148,701",55,158,73
tt0816442,Storia di una ladra di libri,The Book Thief,2013,2014-03-27,"Drama, War",131,"USA, Germany","English, German",Brian Percival,"Markus Zusak, Michael Petroni",Fox 2000 Pictures,"Roger Allam, Sophie Nélisse, Heike Makatsch, Julian Lehmann, Gotthard Lange, Rainer Reiners, Kirsten Block, Geoffrey Rush, Emily Watson, Nico Liersch, Ludger Bökelmann, Paul Schaefer, Nozomi Linus Kaisar, Oliver Stokowski, Robert Beyer","While subjected to the horrors of World War II Germany, young Liesel finds solace by stealing books and sharing them with others. In the basement of her home, a Jewish refugee is being protected by her adoptive parents.",7.6,125322,"$19,000,000","$21,488,481","$76,586,316",53,292,264
tt0244417,Baby Bedlam,Baby Bedlam,2000,2000-07-12,"Family, Adventure, Comedy",86,"USA, Germany",English,Eric Hendershot,Eric Hendershot,Promark Entertainment Group,"Joe Piscopo, Julie Hagerty, Reggie Theus, Robert Costanzo, Jake Dinwiddie, Robert Bailey Jr., Jacob Franchek, Alessandra Torresani, Stephen Rippey, Melinda Renee, Melinda Haynes, Jeff Olsen, Camille Jensen, David H. Stevens, Ken McConnell",A 10-year-old boy's fondness for practical jokes gets him into trouble when a baby is accidentally kidnapped.,4.1,138,,,,,4,
tt0395584,La casa del diavolo,The Devil's Rejects,2005,2006-05-12,Horror,107,"USA, Germany","English, Spanish",Rob Zombie,"Rob Zombie, Rob Zombie",Lions Gate Films,"Sid Haig, Bill Moseley, Sheri Moon Zombie, William Forsythe, Ken Foree, Matthew McGrory, Leslie Easterbrook, Geoffrey Lewis, Priscilla Barnes, Dave Sheridan, Kate Norby, Lew Temple, Danny Trejo, Dallas Page, Brian Posehn","The murderous, backwoods Firefly family take to the road to escape a vengeful police force which is not afraid of being as ruthless as their target.",6.8,91542,"$7,000,000","$17,044,981","$20,901,859",53,735,276
