imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt9892338,No Dorai,No Dorai,2019,2019-11-29,Drama,150,Bangladesh,Bengali,Taneem Rahman Angshu,"Mahboob Rahman, Shyamal Sengupta",,"Sayed Babu, Sunerah Binte Kamal, Josefine Lindegaard, Sariful Razz, Hindol Roy, Wasim Sitar","In a small beach town in Bangladesh, fearless Ayesha confronts social prohibition and violent opposition from her poverty-ridden family to surf. Like few other youngsters, she and her best ...",7.2,296,"$1,250,000",,,,21.0,2.0
tt9894098,Sathru,Sathru,2019,2019-03-08,Thriller,129,India,,Naveen Nanjundan,,Milestone Movies,"Master Ajithesh, Anal Akilan, A.R. Bala, Aruvi Balaji, Alisha Chopra, Srushti Dange, S. Gurumurthy, Alfha Josh, Karnavel, Kathir, Kesavan, Maimar Keyan, Stills Kumar, Laguparan, Bava Lakshmanan","A kidnapping gone wrong leads to mounting tension between Prabha, the kidnapper, and Kathir, the policeman assigned to the case.",6.0,226,,,"$8,683",,12.0,1.0
tt9894394,Upin & Ipin: Keris Siamang Tunggal,Upin & Ipin: Keris Siamang Tunggal,2019,2019-03-21,Animation,100,Malaysia,Malay,"Adam Bin Amiruddin, Syed Nurfaiz Khalid bin Syed Ibrahim","Hjh. Ainon Ariff, Nur Naquyah bt Burhanuddin",Les' Copaque Production,"Asyiela Putri Bt Azhar, Mohd Amir Asyraf Bin Mohd Noor Rashid, Irfan Fahim Bin Mohd Irman, Ahmad Mawardi Bin Abdul Rahman, Fakhrul Razi Ibrahim, Muhammad Fareez Daniel Bin Sharabuddin, Muhammad Musyrif Azzat Bin Mohd Azzuan, Tang Ying Sowk, Rufaidah Bt Mohamed Fadzil, Andhika Astari, Ahmad Razuri bin Roseli, Siti Hasmah Bt Taiban, Muhammad Shamer Bin Hj Nazli, Adam Bin Amiruddin, Nik Ahmad Rasyidi Bin Nik Othman","Upin, Ipin and their friends come across a mystical 'keris' that opens up a portal and transports them straight into the heart of a kingdom.",7.9,440,MYR 20000000,,"$83,857",,61.0,1.0
tt9894440,Min pappa Marianne,Min pappa Marianne,2020,2020-02-21,"Comedy, Drama",110,Sweden,Swedish,Mårten Klingberg,"Cilla Jackert, Daniel Karlsson",Avanti Film,"Hedda Stiernstedt, Rolf Lassgård, Lena Endre, Klas Wiljergård, Nour El-Refai, Kajsa Ernst, Ralph Carlsson, Mårten Klingberg, Vilhelm Blomgren, Mikaela Knapp, Wilhelm Johansson, Johan Karlberg, Marie Delleskog, Lotta Karlsson, Astrid Stang-Lund Sanne","After breaking up with her boyfriend, 28 year old aspiring journalist Hanna decides to leave Stockholm and moves back to her parents and brother in her small hometown Alingsås. After ...",7.2,545,,,"$40,772",,1.0,5.0
tt9894470,VFW,VFW,2019,2020-02-14,"Action, Crime, Horror",92,USA,English,Joe Begos,"Max Brallier, Matthew McArdle",Fangoria,"Stephen Lang, William Sadler, Fred Williamson, Martin Kove, David Patrick Kelly, George Wendt, Tom Williamson, Sierra McCormick, Travis Hammer, Dora Madison, Josh Ethier, Graham Skipper, Linnea Wilson, Jesse Kove, Brandon Potter","A group of old war veterans put their lives on the line to defend a young woman taking shelter in their local VFW post, who's running from a deranged drug dealer and his relentless army of drug addled punks.",6.1,4178,,,"$23,101",72.0,83.0,94.0
tt9896916,The Pilgrim's Progress,The Pilgrim's Progress,2019,2019-04-18,"Animation, Adventure, Family",108,USA,English,Robert Fernandez,"John Bunyan, Robert Fernandez",Cat In The Mill Studio,"David Thorpe, John Rhys-Davies, Kristyn Getty, Tristan Beint, Justin Butcher, Stephen Daltry, Andy Harrison, Jasmine Jones, Jonathan Keeble, Rachel Marquez, Chris Pavlo, Alison Pettit, Ben Price, Lisa Ronaghan, Andrew Wyncott","An epic journey, faithfully adapted to modern-day. Christian faces distractions, challenges, and perils at every turn of the way. But ends victorious, with helpful guides, as he stays on the narrow path to the distant Celestial City.",5.7,442,,"$1,294,596","$3,173,282",,28.0,3.0
tt9898858,Coffee & Kareem,Coffee & Kareem,2020,2020-04-03,"Action, Comedy",88,USA,English,Michael Dowse,Shane Mack,Pacific Electric Picture Company,"Ed Helms, Taraji P. Henson, Terrence Little Gardenhigh, Betty Gilpin, RonReaco Lee, David Alan Grier, Andrew Bachelor, William 'Big Sleeps' Stewart, Serge Houde, Eduard Witzke, Chance Hurstfield, Diana Bang, Erik McNamee, Samantha Cole, Terry Chen","Twelve-year-old Kareem Manning hires a criminal to scare his mom's new boyfriend -police officer James Coffee - but it backfires, forcing Coffee and Kareem to team up in order to save themselves from Detroit's most ruthless drug kingpin.",5.1,10627,,,,35.0,388.0,64.0
tt9899850,Ashoftegi,Ashoftegi,2019,2019-12-18,"Crime, Mystery, Thriller",86,Iran,Persian,Fereydoun Jeyrani,Fereydoun Jeyrani,,"Bahram Radan, Mahnaz Afshar, Mehran Ahmadi, Nazanin Solhjoo, Ali Milani, Nasim Adabi, Shahrashub Roghanian, Ehsan Mohammadi",The story of a twin brothers Bardia And Barbod who meet each other after many years. But during a quarrel between them Bardia who is a rich successful man gets killed. His brother Barbod ...,3.9,138,,,,,2.0,26.0
tt9899880,Columbus,Columbus,2018,2018-12-05,"Comedy, Drama",82,Iran,"Persian, English",Hatef Alimardani,Hatef Alimardani,,"Farhad Aslani, Majid Salehi, Saeed Poursamimi, Shabnam Moghadami, Hanie Tavassoli, Mitra Rafee, Erfan Ebrahimi, Farideh Sepah Mansour, Gity Ghasemi, Nima Niktabe, Farnush Nikandish, Arsam Rahmani Manesh",A rich family are deciding to immigrate to the USA but the son of the family Manuchehr is plotting to take the money for himself instead and ruins their plan for migration.,4.0,209,,,,,,13.0
tt9900060,Lupin III: La menzogna di Fujiko Mine,Lupin the IIIrd: Mine Fujiko no Uso,2019,2019-05-31,"Animation, Adventure, Crime",58,Japan,Japanese,Takeshi Koike,"Monkey Punch, Laura Megan Stahl",TMS Entertainment,"Kan'ichi Kurita, Kiyoshi Kobayashi, Miyuki Sawashiro, Mamoru Miyano, Tomoe Hanba, Masato Obara, Mayumi Asano, Biichi Satoh, Yasuyoshi Hara, Takeshi Hayakawa, Naoto Tsuchiya, Nikray Farahnaz, Jake Eberle, Katelyn Gault, Erika Harlacher","Fujiko befriends a young boy whose late father hid away a treasure, but a killer is on the boy's trail.",6.9,103,,,,,1.0,1.0
tt9900782,Kaithi,Kaithi,2019,2019-10-25,"Action, Thriller",145,India,Tamil,Lokesh Kanagaraj,"Lokesh Kanagaraj, Pon Parthiban",Dream Warrior Pictures,"Karthi, Narain, Ramana, George Maryan, Harish Uthaman, Hareesh Peradi, Dheena, Kanna Ravi, Amzath Khan, Arun Alexander, Lallu, Vatsan Chakravarthy, Udayaraj, Kishore Rajkumar, Deepthi",A recently released prisoner becomes involved in a chase with criminals as he races against time to drive poisoned cops to hospital in exchange for meeting his daughter.,8.5,8400,INR 240000000,,"$524,061",,188.0,8.0
